crag,name,grade,ascents
rocktown,Nose Candy,7A,729
rocktown,Sherman Photo Roof,7A+,620
rocktown,Golden Shower,6C,614
rocktown,Helicopter,7A,529
rocktown,Asphalt / Pythagorean Theorem,6C,391
rocktown,The Orb,7B+,387
rocktown,Soap on a Rope,6B,373
rocktown,Lab Rats,7A,371
rocktown,The Scoop,6A,350
rocktown,Standard Deviation,7A,342
rocktown,Blue,7A,294
rocktown,The Vagina,7B+,293
rocktown,Double Trouble,6B,284
rocktown,Brown Hole,7B+,283
rocktown,Standard's Variation,6C,275
rocktown,Croc Bloc,6C,246
rocktown,Iron Claw,7A+,237
rocktown,Burst of Joy,7B+,228
rocktown,Tractor Traylor,7B+,227
rocktown,Bionic Rats,7B+,215
rocktown,Tunnel Vision,7A,212
rocktown,The Tao,7B+,202
rocktown,Drug Test Policy,7A+,199
rocktown,Inspired By An Idiot,7A,194
rocktown,Breaking and Entering,6C,193
rocktown,Super Mario,6A,192
rocktown,Tough Love,6C,190
rocktown,The Comet,7A+,186
rocktown,Helicopter Traverse,7B+,176
rocktown,Full Circle,6C,176
rocktown,Belly Button,6A,174
rocktown,Pinch Loaf,6C,169
rocktown,Luigi,6A,166
rocktown,Choctaw Sundial,7B+,164
rocktown,Triple Threat,7A+,161
rocktown,Ripple,5C,161
rocktown,Splash Back,7A,160
rocktown,Little Bad,6C,159
rocktown,Police Brutality,6C,147
rocktown,The Hobbit,6C,146
rocktown,El Baño,6A,146
rocktown,Swing Set,7A,141
rocktown,Guillotine,7A,139
rocktown,Rescue 911,7A,134
rocktown,Screaming Church Girls,6B,131
rocktown,Triple Slaps,6A,130
rocktown,Deception,7A+,129
rocktown,Anti-scoop,6B,123
rocktown,El Baño Direct,6B,118
rocktown,Skin Graph,7A,117
rocktown,Golden Harvest,7C+,112
rocktown,Contrail,6C,110
rocktown,The Orb Direct,7C,107
rocktown,Sherman Roof Traverse,7C,106
rocktown,Swamp Sauce,7B+,106
rocktown,Turkish Resin,7A,105
rocktown,Isle of Beautiful Women,6B,105
rocktown,Roughin the Rottweiler,7B+,103
rocktown,Makin' Waves,5C,100
rocktown,Spice,6C,96
rocktown,Slapper,6C,94
rocktown,White Men Can't Jump,7A+,93
rocktown,Gritstone Arête,6A,92
rocktown,My Side of the Mountain,7A+,91
rocktown,Yoga Move,6C,88
rocktown,Beauty Face,7A,87
rocktown,Pullin' Tubes,7A,84
rocktown,Rotten Egg,7C,84
rocktown,Trouble,6A,84
rocktown,Mr. Stiffy,6C,81
rocktown,Jug Surfin',6B,77
rocktown,Grand Theft Auto,7A+,77
rocktown,The Womb,7C+,77
rocktown,Yoshi,6B,74
rocktown,El Classico,5A,73
rocktown,Too Many Cooks in the Kitchen,7C,73
rocktown,Ewoker Traverse,6C,72
rocktown,The Standard,6A,72
rocktown,Digital Scales,7C,71
rocktown,N.N.,6B+,69
rocktown,iron claw sit,7C+,69
rocktown,skidmark,7B+,68
rocktown,Big Bad Right,7B+,67
rocktown,Old Style,6B,67
rocktown,Comet Arete,5B,64
rocktown,Bermuda Triangle,7B+,63
rocktown,The Price is Right,7B+,62
rocktown,Paint Can,5C,59
rocktown,N.N.,6C,58
rocktown,Big Bad,6C,58
rocktown,Altar Boys,6B,57
rocktown,The Tooth,7A+,56
rocktown,Brown Eye Left,6C,54
rocktown,Blackout,7C+,54
rocktown,Majora,6C,53
rocktown,Rail Grind,5C,53
rocktown,Cap Gun Bandits,7A,53
rocktown,Golden Throttle,6C,53
rocktown,The Good Roof,7A+,53
rocktown,Booney Project,7B+,52
rocktown,Goforia,5A,52
rocktown,Nitrous Oxide,7C,51
rocktown,Turbulence,7A,51
rocktown,Pocket Rocket,6B,51
rocktown,Grape Ape,6B,50
rocktown,Paparazzi,7A+,49
rocktown,B Cubed,7C,49
rocktown,B Cubed Right,7A+,47
rocktown,Ace,6C,47
rocktown,New Sheriff in Town,6C,46
rocktown,Bulge in My Pants,5C,46
rocktown,Kirk the Roach,5C,46
rocktown,El Baño Right,5B,45
rocktown,Jimmy Hendrix's Face,7B+,45
rocktown,Nice Horsy,6B,45
rocktown,Freed's Fall,6B,44
rocktown,Smiley,7A+,43
rocktown,The Comet Sit,7B+,42
rocktown,Dwarf Toss,6B,42
rocktown,Mr. Softy,5B,42
rocktown,Big Bad Boulder,7A+,41
rocktown,Flying Solo,7A+,39
rocktown,Touchin' Cotton,6C,38
rocktown,Flying,6C,38
rocktown,Rim Job,5C,36
rocktown,speculum,7C,35
rocktown,Diamond in the Rough,6C,35
rocktown,Bob Barker,7C,34
rocktown,Hairlining,7A+,34
rocktown,Sugar,7A+,34
rocktown,Curls for the Girls,7A+,33
rocktown,Monkey Bars,5B,33
rocktown,Paparazzi Sit,7C,32
rocktown,Pasty Faced Weirdos,6B,32
rocktown,Groper Left,5C,32
rocktown,Lot Lizard,5B,31
rocktown,The Tooth Problem,7A,31
rocktown,The Easy Way Out,5B,31
rocktown,Cam Ron,6C,31
rocktown,Alien Writing,6A,30
rocktown,Sweet 'n Low,7A+,30
rocktown,Campus Punks,7A,30
rocktown,Hueco Simulator,5C,29
rocktown,Alligator,7B+,29
rocktown,Little Bit of Hueco,5A,29
rocktown,Fly Dawg,5A,29
rocktown,Blockhead,6B,29
rocktown,Pet Raccoon,5B,28
rocktown,Discharge,7C,28
rocktown,Out of Orbit,5C,28
rocktown,The Great Roof,7C+,27
rocktown,Horse Power,6C,27
rocktown,Zero Hero,5A,26
rocktown,Candle Sticks,5C,26
rocktown,The Snowman,7C,25
rocktown,If I Only Had a Name,6A,25
rocktown,Backsplash,7A+,24
rocktown,Red Stripe,5A,24
rocktown,Red Belly,6B,24
rocktown,Skinheads,7A+,23
rocktown,Sinus,6A,22
rocktown,Croc Bloc Direct,7A+,22
rocktown,TD13,7C+,22
rocktown,Choctaw Sundial SDS,7C,22
rocktown,Donkey Punch,5A,21
rocktown,King Cobra,5C,21
rocktown,Wasatch,6B,20
rocktown,True Grit,6A,20
rocktown,Standard's traverse,6C,20
rocktown,Drunken Dyno,7A+,20
rocktown,Comet Dyno,7A+,20
rocktown,Byrd,6C,20
rocktown,Gumption,7C+,20
rocktown,Big Bad Left,6C,19
rocktown,Full Circle Low,7A,19
rocktown,Loaf,7A,19
rocktown,Jabber Jaw,6C,19
rocktown,Yoshi,6B,18
rocktown,Scoop Left,5B,18
rocktown,Donkey Kick,5A,18
rocktown,Brown Eye,7A,17
rocktown,Grand Theft Auto Variation,7A,17
rocktown,Alligator Short,6C,17
rocktown,Salt,6C,17
rocktown,Sherminator,6B,17
rocktown,Center Crock Block,6C,16
rocktown,The Dropper,7A+,16
rocktown,Drunken Barn Dance,7A,16
rocktown,Terrier,7B+,16
rocktown,Little Bad Boulder,6C,16
rocktown,BK Was Here,6C,16
rocktown,Bermuda Triangle Direct,7C,16
rocktown,Chopper,7B+,15
rocktown,Splashback,7A,15
rocktown,Illuminati,7C,15
rocktown,Reverse Traverse,6B,15
rocktown,Sharpen your teeth,8A,15
rocktown,Crock Block,6C,15
rocktown,Superpave,5C,15
rocktown,New Sheriff Direct,7A,14
rocktown,Larry Bird,6B,14
rocktown,Belly Button Traverse,6C,14
rocktown,A Head Deep,6B,14
rocktown,the brain,6A,14
rocktown,20 Feet of Fun,5B,14
rocktown,Left Croc Bloc,6B,14
rocktown,Blood Shot Eyes,7C,14
rocktown,M.I.L.F,7A+,13
rocktown,Big Bad Boulder Right,7B+,13
rocktown,Jolly Jumper,5C,13
rocktown,Wild Ape,7B+,13
rocktown,Scoop Right,6A,13
rocktown,Ragin Cajun,7A+,13
rocktown,Aunt Fanny's Amazing Ass Crack,6C,13
rocktown,Sno Cone,5C,13
rocktown,croc bloc sit,7A+,12
rocktown,Dork Toss,5C,12
rocktown,Almost Famous,6A,12
rocktown,Fire in the Mountains,8A+,12
rocktown,Randy's Roof Low,6C,12
rocktown,Cramper,5B,11
rocktown,Litz Roof,7C+,11
rocktown,Travis' Problem,7A+,11
rocktown,Riptide,7A,11
rocktown,Bad to the Bone,7B+,11
rocktown,Left El Bano,5C,11
rocktown,Dugout Traverse,7C+,11
rocktown,N.N.,5C,11
rocktown,Mr. McSween,7A+,11
rocktown,The Ewoker,6C+,11
rocktown,Panty Dropper,7B+,11
rocktown,Tombstone,6C,11
rocktown,The Hula,7C,11
rocktown,Toilet Paper,5A,10
rocktown,Idiot Roof,7A,10
rocktown,Black Pinch,6C,10
rocktown,Martian Mantle,5C,10
rocktown,The Impaler,7A,10
rocktown,Tractor Traylor Direct,7C,10
rocktown,Beehive,5C,10
rocktown,Lucky 7,5C,10
rocktown,Stupid Blond Girl,6B,9
rocktown,Grinder,7A,9
rocktown,Pommel Horse,5A,9
rocktown,Picasso,7A,9
rocktown,Jug,5A,9
rocktown,20 Feet of Madness,5A,9
rocktown,Danger Dog,6C,9
rocktown,Casper,7C,9
rocktown,Beauty Face Sit,6C,9
rocktown,Medieval,5B,9
rocktown,Zion,8A,8
rocktown,Diamond Circle,6C,8
rocktown,Shot in the dark,7A+,8
rocktown,slither,7A+,8
rocktown,White Lightning,7A+,8
rocktown,Cool Face,6B,8
rocktown,Bob's Face,5C,8
rocktown,Cat Fight,6C,8
rocktown,Guin Arete,6A,8
rocktown,Wharf Rat,6C,8
rocktown,Bar Fly,7A+,8
rocktown,Euro Dog,6C,8
rocktown,Paint Can Stand,3A,8
rocktown,Wedgie,7B+,8
rocktown,Lipper,3A,7
rocktown,Another Face in the Crowd,5A,7
rocktown,Hover,5A,7
rocktown,Croc Bloc Low,7A+,7
rocktown,Standard Variation,6C,7
rocktown,Fun Slab,5A,7
rocktown,Tomb Raider,7C+,7
rocktown,Kirk Layback Especial,5C,7
rocktown,bionic direct,7B+,7
rocktown,Ledge Slab,3A,7
rocktown,The chopping block,6A,6
rocktown,El Hueco,4A,6
rocktown,Center Croc Bloc,6C,6
rocktown,The Coroner,6A,6
rocktown,Ostracize Arete,4C,6
rocktown,smell my finger,6C,6
rocktown,Orange Crush,5C,6
rocktown,Left Crock Block,6B,6
rocktown,Under the Pews,3A,6
rocktown,Pommel Horse Right,5A,6
rocktown,Bob Special,5C,6
rocktown,Wasatch,6B,6
rocktown,Squat Low,6A,6
rocktown,Layback Arete,5A,6
rocktown,Dead end,6B,6
rocktown,Comet Right,6B+,6
rocktown,the dao,7C,6
rocktown,Rising Sun,6C,6
rocktown,Sundial,7B+,6
rocktown,Pommel Horse Left,5A,6
rocktown,swamp ass,7A+,6
rocktown,Juggalicious,5A,6
rocktown,The Rack,5A,6
rocktown,Gold brook,6C,6
rocktown,El Bano Arête,6B,6
rocktown,stripper pole,6C,6
rocktown,Pinky,5A,6
rocktown,Killer On Campus,5C,6
rocktown,Squeak,5A,5
rocktown,BC,5B,5
rocktown,Groper Right,5C,5
rocktown,Trowel,5A,5
rocktown,Squat,5A,5
rocktown,Brown Threat,7B+,5
rocktown,The Day I Out-Crimped Litz,7C,5
rocktown,Block Hoppin',5C,5
rocktown,brown hole direct,7C,5
rocktown,Leatherback,6B,5
rocktown,The Banjo,6C,5
rocktown,Swinging door,5C,5
rocktown,Serendipity,6B,5
rocktown,Alligator Low,7C+,5
rocktown,knobs,6B,5
rocktown,Spoons,7A,5
rocktown,police school,5C,5
rocktown,Sherman Traverse Reversed,7C,5
rocktown,The Concave Slab,6A,5
rocktown,N.N.,6B,5
rocktown,Idiot Roof Right,6C,5
rocktown,Comet Traverse,6C,5
rocktown,Easy Dugout,5C,5
rocktown,The Police School,6A,5
rocktown,Downstairs Mix-Up,6C,5
rocktown,Big Man on Campus,7C,5
rocktown,Everything Nice,6B,5
rocktown,Dry Socket,5B,5
rocktown,Willful Suspention,7C+,5
rocktown,Deception arete,7C,5
rocktown,Tsunami,5C,5
rocktown,8”nu,7A+,5
rocktown,Majora Stand,5A,5
rocktown,Log,5B,4
rocktown,Isle of Ugly Women,6B,4
rocktown,Splashback,7A,4
rocktown,African Deathbed,5B,4
rocktown,Asphalt Curb,6A,4
rocktown,N.N.,6B,4
rocktown,soap on a rope var. 1,6C,4
rocktown,Crocker,6A,4
rocktown,Groovie,5B,4
rocktown,Jug-haul,5B,4
rocktown,Tennessee Sport Route,5B,4
rocktown,GTA variation,7A,4
rocktown,Iron Face,3A,4
rocktown,Shermanator Right,7A,4
rocktown,N.N.,6A,4
rocktown,N.N.,5C,4
rocktown,Mr. Stiffy SDS,7B,4
rocktown,Orb Right,6B,4
rocktown,Bleau,7A,4
rocktown,Bread Loaf Mantel,6A,4
rocktown,touchin' panties,6B,4
rocktown,Beast,5C,4
rocktown,Tough Love Right,6C+,4
rocktown,About Face,7C,4
rocktown,About Face,7C,4
rocktown,Brown Sheild,6A,4
rocktown,5.11 Arête,5A,4
rocktown,Under Dog,6B,4
rocktown,Iron Maiden,5C,4
rocktown,DTP,7A+,4
rocktown,The Tooth Sit,7B+,4
rocktown,Sweetness,5B,4
rocktown,Tatonka,8A,4
rocktown,Beauty and the Beast,7B+,4
rocktown,double trouble extension,6C,4
rocktown,Into The Wild,7A,4
rocktown,If I Only Had Five Inches,6B,4
rocktown,Gritstone Crack,5A,4
rocktown,laughing gas,7A+,3
rocktown,Randy's roof low,6B,3
rocktown,Weird One,5C,3
rocktown,Another Scary,3A,3
rocktown,Head Plant,6A,3
rocktown,Without a trace,5B,3
rocktown,Harbor Wave Direct,7A,3
rocktown,Little Bad Right,7A,3
rocktown,Gimme Some,4A,3
rocktown,Hornet,5C,3
rocktown,N.N.,6C,3
rocktown,Golden Child,6B,3
rocktown,Nipple,6A,3
rocktown,The Helicopter Sit,7C,3
rocktown,Killer Low,6B,3
rocktown,Farmer Rail,5C,3
rocktown,Crock Block Right,6B,3
rocktown,full hobbit low,7A,3
rocktown,Trowe,5A,3
rocktown,The Down Climb,5B,3
rocktown,Big Monkey Trav,5B,3
rocktown,Casually,5B,3
rocktown,Choss Bubble,5C,3
rocktown,Easy Slab,4C,3
rocktown,Imaginary Pathways,5C,3
rocktown,Soap on a Rope Left,7A,3
rocktown,Banjo,6A,3
rocktown,The Coroner,6A,3
rocktown,Big Bad Ass,7B,3
rocktown,The Spoon,6C,3
rocktown,N.N. (near Orb),6A,3
rocktown,Arete past Skin Graf,7A,3
rocktown,Center Direct sds,7B,3
rocktown,next to orb,7A,3
rocktown,Torque Invertor,6B,3
rocktown,Cooper's Crimpers,5C,3
rocktown,Great Roof Stand,7A+,3
rocktown,Tissues,5A,3
rocktown,Delighted Roof,5B,3
rocktown,Bionic rats direct,7B+,3
rocktown,Rail Slide,6C,3
rocktown,Squat,5A,3
rocktown,Underdog,6B,3
rocktown,Tissues,5A,3
rocktown,Mr. McSween,7A+,3
rocktown,Bread Loaf,6A,3
rocktown,Red Ant Nest,5B,3
rocktown,White Hand,6C,3
rocktown,Little Bad Left,6B,3
rocktown,Juggy Arete,4A,3
rocktown,Elimarete,6C+,3
rocktown,Pretty Face,6C,3
rocktown,Cool Mon,5C,3
rocktown,Half Ass Roof,6B,3
rocktown,Kirk's Layback,6A,3
rocktown,Cujo,6B,3
rocktown,Weird One,5B,3
rocktown,Slump and Air,6A,3
rocktown,Three Sea Shells,5A,3
rocktown,Blacktop,5C,3
rocktown,Big Money Trav.,6A,3
rocktown,Mother thrutcher right sit,6C,3
rocktown,Snake Eyes,5C,3
rocktown,Suspicious Minds,6C,3
rocktown,crock block far right,6B,3
rocktown,Comet Variation,6C,3
rocktown,Harbor Wave,5C,3
rocktown,Race,6A,3
rocktown,Tissues,4A,3
rocktown,Levitate,8A+,2
rocktown,Face Between the Trees,3A,2
rocktown,The V-Notch,5B,2
rocktown,Stretch Armstrong,6C,2
rocktown,On the Other Side,6B,2
rocktown,Choss Block Right,4A,2
rocktown,McGinnis Roof,7C+,2
rocktown,big bad dyno,7A+,2
rocktown,N.N.,6C+,2
rocktown,Beginner's roof,5B,2
rocktown,N.N. (Right of Orb),6C+,2
rocktown,Standard,6C,2
rocktown,Gross Roof,7B+,2
rocktown,Standard Right,6C+,2
rocktown,The Locker,5C,2
rocktown,curly haired girls,7B+,2
rocktown,Jenny's Crank Diet,5B,2
rocktown,Sherman Photo Reverse Traverse Extension,7B+,2
rocktown,Rock Slide,5C,2
rocktown,Vulva,5C,2
rocktown,Smooth ride,5A,2
rocktown,Paparazzi (error),7A,2
rocktown,The Great Unknown,6A,2
rocktown,Arete to the Right,5C,2
rocktown,Willful Suspention Ext.,8A,2
rocktown,Easy Party Left,3A,2
rocktown,Splutter,5B,2
rocktown,Pumper Direct,5C,2
rocktown,Going Green,5C,2
rocktown,yoga threat,7B,2
rocktown,Swing Set Left,7A+,2
rocktown,Golden harvest,6C+,2
rocktown,Tractor Traylor Extension,7C,2
rocktown,Witches' Rave,7C+,2
rocktown,crock crack,5C,2
rocktown,Discharge,7C,2
rocktown,Gollum,6B,2
rocktown,Big Boss,7A,2
rocktown,Comet Direct,6C,2
rocktown,standard traverse,6C,2
rocktown,Golden Boulder,6C,2
rocktown,The Right One,6A,2
rocktown,Comet Standard,6A,2
rocktown,Undercling helicopter,7C+,2
rocktown,Alan's Face,6B,2
rocktown,Ice Cream,7A,2
rocktown,photo finish,7B,2
rocktown,Sun Dial,7C,2
rocktown,Bermuda Triangle (L),7C,2
rocktown,The Horror,7B,2
rocktown,Mirror Image,7B+,2
rocktown,Y-not,7C+,2
rocktown,Y,7C,2
rocktown,On the Other Side,6B,2
rocktown,Choss Block Right,4A,2
rocktown,Sherman Photo Reverse,7C,2
rocktown,nose-photo traverse,7B,2
rocktown,Y-not,7C+,2
rocktown,Y,7C,2
rocktown,Sherman Middle,7A,2
rocktown,Jack in the Box,6B,2
rocktown,Butt Crack,5C,2
rocktown,Neck Lettuce,7A+,2
rocktown,Hornet's Nest,6A,2
rocktown,Sherman Photo Reverse,7C,2
rocktown,nose-photo traverse,7B,2
rocktown,Koochey Skanky,6C,2
rocktown,Wind Tunnel,7B+,2
rocktown,Blank Canvas,6A,2
rocktown,Fun Time Left,5A,2
rocktown,The Standard's Variation,6C,2
rocktown,Splutter,5B,2
rocktown,Pump Trainer,6B,2
rocktown,Pebble,5C,2
rocktown,Last Train To Memphis,6A,2
rocktown,Arkansas,6B,2
rocktown,Reverse Traverse,6B,2
rocktown,Boo,5C,2
rocktown,Grizzly Adams,7C,2
rocktown,Awkward,6C,2
rocktown,N.N.,7A,2
rocktown,Roller Derby,5C,2
rocktown,Atlanta is burning,5B,2
rocktown,Euro Dyno,7C,2
rocktown,The Wave,5B,2
rocktown,Astro,6B,2
rocktown,Overhere,5A,2
rocktown,Green,6B,2
rocktown,Euro light,5B,2
rocktown,Euro dog traverse,5A,2
rocktown,Nug,5C,2
rocktown,N.N. (Labrats area),7A,2
rocktown,Standard traverse,6C,2
rocktown,Splash Vision,7A+,2
rocktown,brown nose,7A,2
rocktown,Dookie Traverse,6C,2
rocktown,OG deception,7C,2
rocktown,Kurk the Roach,5C,2
rocktown,Contrail variation,6A,2
rocktown,Center Crock Block Direct,7B,2
rocktown,Standard Dyno,6C+,2
rocktown,The Triple Slaps,6B,2
rocktown,Squeak,3A,2
rocktown,Mario,6A,2
rocktown,Shot the Sheriff,7A,1
rocktown,Traverse of Death,6B,1
rocktown,Bread Loaf Pinch,6C,1
rocktown,Swing Bars,7A,1
rocktown,Magic Mantle,5B,1
rocktown,Ledge Slab,5A,1
rocktown,Deputy Dog,5B,1
rocktown,The challenge traverse,5B,1
rocktown,Chossmaster 8000,5B,1
rocktown,Chuff,5A,1
rocktown,basil,5A,1
rocktown,Soap on a Rope Var.,6C,1
rocktown,Bouser,6B,1
rocktown,Diamond Circle Low,7A+,1
rocktown,Drunken Barn Dyno,7A+,1
rocktown,Tissues,2,1
rocktown,Resurrection,7B,1
rocktown,N.N.,6B,1
rocktown,Triple Cheat (Threat),7A+,1
rocktown,Zion (eliminate),8A+,1
rocktown,Tunnel Back,7B,1
rocktown,N.N.,6A,1
